text,label
You're late again. Unacceptable.,0
This is not what I asked for. Fix it now.,0
Stop making excuses. Deliver results.,0
This is sloppy work. Redo it.,0
You ignored the instructions.,0
Not good enough. Improve it.,0
Correct it immediately.,0
I am disappointed. Do it properly.,0
Iar ai întârziat. Inacceptabil.,0
Nu e ce am cerut. Repară imediat.,0
Nu mă interesează scuzele. Vreau rezultate.,0
E făcut de mântuială. Refă.,0
Ты снова опоздал. Неприемлемо.,0
"Это не то, что я просил. Исправь сейчас.",0
Хватит оправданий. Нужен результат.,0
Сделано плохо. Переделай.,0
hello,1
hi,1
ok,1
okay,1
k,1
thanks,1
thank you,1
noted,1
received,1
understood,1
please update me,1
send me the status,1
let me know when it's ready,1
bună,1
salut,1
ok,1
bine,1
am înțeles,1
primit,1
спасибо,1
понял,1
ок,1
принято,1
Good job. Thanks for handling it.,2
This is better. Keep going.,2
I appreciate the effort.,2
"Alright, we can move forward.",2
You fixed it. Well done.,2
Nice improvement compared to last time.,2
"Ok, that works. Thanks.",2
Good progress. Continue.,2
Bine lucrat. Mulțumesc.,2
E mai bine. Continuă așa.,2
Apreciez efortul.,2
"Ok, mergem mai departe.",2
Ai rezolvat. Bravo.,2
Хорошая работа. Спасибо.,2
Стало лучше. Продолжай.,2
Идём дальше. Хорошо.,2
